Date,Province/Region,Confirmed,Deaths,Recovered
10-Mar-20,Pakistan,19,0,1
11-Mar-20,Pakistan,20,0,2
12-Mar-20,Pakistan,21,0,2
13-Mar-20,Pakistan,28,0,3
14-Mar-20,Pakistan,31,0,3
15-Mar-20,Pakistan,53,0,3
16-Mar-20,Pakistan,187,0,4
17-Mar-20,Pakistan,238,0,4
18-Mar-20,Pakistan,302,2,5
19-Mar-20,Pakistan,457,2,5
20-Mar-20,Pakistan,534,3,5
21-Mar-20,Pakistan,646,3,5
22-Mar-20,Pakistan,803,6,6
23-Mar-20,Pakistan,892,6,6
24-Mar-20,Pakistan,1000,7,19
25-Mar-20,Pakistan,1102,8,21
26-Mar-20,Pakistan,1235,9,23
27-Mar-20,Pakistan,1405,11,25
28-Mar-20,Pakistan,1526,13,28
29-Mar-20,Pakistan,1625,18,32
30-Mar-20,Pakistan,1861,25,58
31-Mar-20,Pakistan,2039,26,82
01-Apr-20,Pakistan,2289,31,107
02-Apr-20,Pakistan,2450,35,126
03-Apr-20,Pakistan,2708,40,130
04-Apr-20,Pakistan,2880,45,170
05-Apr-20,Pakistan,3287,50,257
06-Apr-20,Pakistan,3864,54,429
07-Apr-20,Pakistan,4072,58,467
08-Apr-20,Pakistan,4322,62,501
09-Apr-20,Pakistan,4520,70,590
10-Apr-20,Pakistan,4832,85,635
11-Apr-20,Pakistan,5226,100,725
12-Apr-20,Pakistan,5429,108,832
13-Apr-20,Pakistan,5807,120,904
14-Apr-20,Pakistan,6401,135,1006
15-Apr-20,Pakistan,7231,140,1200
16-Apr-20,Pakistan,7682,150,1420
17-Apr-20,Pakistan,8031,157,1607
18-Apr-20,Pakistan,8412,168,1780
19-Apr-20,Pakistan,8853,180,1905
20-Apr-20,Pakistan,9216,192,2066
21-Apr-20,Pakistan,9771,209,2156
22-Apr-20,Pakistan,10513,224,2337
23-Apr-20,Pakistan,11155,237,2527
24-Apr-20,Pakistan,11940,253,2755
25-Apr-20,Pakistan,12723,269,2866
26-Apr-20,Pakistan,13328,281,3029
27-Apr-20,Pakistan,14079,301,3233
28-Apr-20,Pakistan,14885,327,3425
29-Apr-20,Pakistan,15827,361,4052
30-Apr-20,Pakistan,16817,385,4315
01-May-20,Pakistan,18114,417,4715
02-May-20,Pakistan,19103,440,4817
03-May-20,Pakistan,20186,462,5590
04-May-20,Pakistan,21501,486,5782
05-May-20,Pakistan,22550,526,6217
06-May-20,Pakistan,24073,564,6464
07-May-20,Pakistan,25837,594,7530
08-May-20,Pakistan,27474,618,7756
09-May-20,Pakistan,29465,639,8023
10-May-20,Pakistan,30941,668,8212
11-May-20,Pakistan,32081,706,8555
12-May-20,Pakistan,34336,737,8812
13-May-20,Pakistan,35788,770,9695
14-May-20,Pakistan,37218,803,10155
15-May-20,Pakistan,38799,834,10880
16-May-20,Pakistan,40151,873,11341
