Date,Province/Region,Confirmed,Deaths,Recovered
10-Mar-20,Sindh,14,0,1
11-Mar-20,Sindh,14,0,2
12-Mar-20,Sindh,15,0,2
13-Mar-20,Sindh,16,0,3
14-Mar-20,Sindh,18,0,3
15-Mar-20,Sindh,34,0,3
16-Mar-20,Sindh,150,0,3
17-Mar-20,Sindh,172,0,3
18-Mar-20,Sindh,208,0,3
19-Mar-20,Sindh,238,0,3
20-Mar-20,Sindh,259,1,3
21-Mar-20,Sindh,292,1,3
22-Mar-20,Sindh,352,1,4
23-Mar-20,Sindh,399,1,4
24-Mar-20,Sindh,413,1,14
25-Mar-20,Sindh,417,1,14
26-Mar-20,Sindh,429,1,14
27-Mar-20,Sindh,457,1,14
28-Mar-20,Sindh,481,2,14
29-Mar-20,Sindh,508,5,16
30-Mar-20,Sindh,627,7,42
31-Mar-20,Sindh,676,8,51
01-Apr-20,Sindh,743,9,58
02-Apr-20,Sindh,783,11,65
03-Apr-20,Sindh,839,14,65
04-Apr-20,Sindh,864,15,85
05-Apr-20,Sindh,881,15,123
06-Apr-20,Sindh,932,17,253
07-Apr-20,Sindh,986,18,269
08-Apr-20,Sindh,1036,20,280
09-Apr-20,Sindh,1100,22,310
10-Apr-20,Sindh,1120,25,342
11-Apr-20,Sindh,1200,30,360
12-Apr-20,Sindh,1330,38,390
13-Apr-20,Sindh,1500,42,410
14-Apr-20,Sindh,2000,46,435
15-Apr-20,Sindh,2300,49,453
16-Apr-20,Sindh,2426,53,470
17-Apr-20,Sindh,2806,59,486
18-Apr-20,Sindh,3250,61,497
19-Apr-20,Sindh,3311,65,520
20-Apr-20,Sindh,3612,68,542
21-Apr-20,Sindh,3808,70,569
22-Apr-20,Sindh,4206,73,630
23-Apr-20,Sindh,4551,78,690
24-Apr-20,Sindh,4627,80,730
25-Apr-20,Sindh,4901,83,800
26-Apr-20,Sindh,5000,86,833
27-Apr-20,Sindh,5110,87,900
28-Apr-20,Sindh,5291,92,963
29-Apr-20,Sindh,5695,100,1169
30-Apr-20,Sindh,6053,112,1222
01-May-20,Sindh,6675,118,1295
02-May-20,Sindh,7102,122,1341
03-May-20,Sindh,7465,130,1555
04-May-20,Sindh,7882,137,1629
05-May-20,Sindh,8189,148,1671
06-May-20,Sindh,8640,157,1731
07-May-20,Sindh,9093,171,1853
08-May-20,Sindh,9691,175,1940
09-May-20,Sindh,10771,180,2020
10-May-20,Sindh,11480,189,2081
11-May-20,Sindh,12017,200,2149
12-May-20,Sindh,12610,218,2229
13-May-20,Sindh,13341,234,2835
14-May-20,Sindh,14099,243,3075
15-May-20,Sindh,14916,255,3606
16-May-20,Sindh,15590,268,3804
,,,,
